variable_specification,sample_group,max_scalar,min_scalar,nominal_2050
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_oil,203,1.0,1.0,0.0165
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_other,204,1.0,1.0,0.001
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_solar,205,1.0,1.0,0.0
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_waste,206,1.0,1.0,2.79
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_wind,207,1.0,1.0,0.0
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biofuels,208,1.0,1.0,0.0006
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biogas,209,1.0,1.0,0.0001
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biomass,210,1.0,1.0,0.002875
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coal,211,1.0,1.0,0.0015
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coal_deposits,212,1.0,1.0,0.0015
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coke,213,1.0,1.0,0.0007333333333333
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_crude,214,1.0,1.0,0.0006
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_diesel,215,1.0,1.0,0.0006
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_electricity,216,1.0,1.0,0.0
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_furnace_gas,217,1.0,1.0,0.0001
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_gasoline,218,1.0,1.0,0.0006
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_geothermal,219,1.0,1.0,0.0
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_hydrocarbon_gas_liquids,220,1.0,1.0,0.0001
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_hydrogen,221,1.0,1.0,0.0
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_hydropower,222,1.0,1.0,0.0
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_kerosene,223,1.0,1.0,0.0006
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_natural_gas,224,1.0,1.0,0.00035
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_natural_gas_unprocessed,225,1.0,1.0,0.00035
ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_nuclear,226,1.0,1.0,0.0
